Transition Profile during evaluation with reward shaping:
Q-table shape: (7, 6, 24, 5, 4, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week', 'Season']
State bin size: [7, 6, 24, 5, 4]
Bins length: 5
Bins: [array([  0.        ,  41.42857143,  82.85714286, 124.28571429,
       165.71428571, 207.14285714, 248.57142857, 290.        ]), array([1.00000000e-02, 2.60683333e+01, 5.21266667e+01, 7.81850000e+01,
       1.04243333e+02, 1.30301667e+02, 1.56360000e+02]), array([ 1.,  2.,  3.,  4.,  5.,  6.,  7.,  8.,  9., 10., 11., 12., 13.,
       14., 15., 16., 17., 18., 19., 20., 21., 22., 23., 24., 25.]), array([0. , 1.2, 2.4, 3.6, 4.8, 6. ]), array([0.  , 0.75, 1.5 , 2.25, 3.  ])]
Discount rate: 0.3998609717152556
Small reward: 46.66566321361543
Large reward: 19475.110376829187
Learning rate: 0.06983140212909128
N episodes: 10
State: [40.   36.11 14.    9.  ], Action: 2, Reward: -361.1, Next state: [50.   36.01 15.    9.  ]
State: [50.   36.01 15.    9.  ], Action: 1, Reward: -360.09999999999997, Next state: [60.   34.21 16.    9.  ]
State: [60.   34.21 16.    9.  ], Action: 2, Reward: -342.1, Next state: [70.   38.06 17.    9.  ]
State: [70.   38.06 17.    9.  ], Action: 0, Reward: -0.0, Next state: [70. 46. 18.  9.]
State: [70. 46. 18.  9.], Action: 0, Reward: -0.0, Next state: [70. 50. 19.  9.]
State: [70. 50. 19.  9.], Action: 1, Reward: -500.0, Next state: [80.   42.54 20.    9.  ]
State: [80.   42.54 20.    9.  ], Action: 0, Reward: -0.0, Next state: [80.   38.07 21.    9.  ]
State: [80.   38.07 21.    9.  ], Action: 1, Reward: -380.7, Next state: [90.  30.5 22.   9. ]
State: [90.  30.5 22.   9. ], Action: 2, Reward: -305.0, Next state: [100.  28.  23.   9.]
State: [100.  28.  23.   9.], Action: 2, Reward: -280.0, Next state: [110.    27.18  24.     9.  ]
