Transition Profile during evaluationwithout reward shaping:
Q-table shape: (10, 5, 6, 7, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week']
State: [140.   27.8  24.   88. ], Action: 2, Reward: -278.0, Next state: [30.   24.91  1.   89.  ]
State: [30.   24.91  1.   89.  ], Action: 1, Reward: -249.1, Next state: [40.   24.83  2.   89.  ]
State: [40.   24.83  2.   89.  ], Action: 1, Reward: -248.29999999999998, Next state: [50.   23.18  3.   89.  ]
State: [50.   23.18  3.   89.  ], Action: 1, Reward: -231.8, Next state: [60.   20.96  4.   89.  ]
State: [60.   20.96  4.   89.  ], Action: 0, Reward: -0.0, Next state: [60.   16.93  5.   89.  ]
State: [60.   16.93  5.   89.  ], Action: 0, Reward: -0.0, Next state: [60.   23.92  6.   89.  ]
State: [60.   23.92  6.   89.  ], Action: 0, Reward: -0.0, Next state: [60.   26.98  7.   89.  ]
State: [60.   26.98  7.   89.  ], Action: 0, Reward: -0.0, Next state: [60.   34.92  8.   89.  ]
State: [60.   34.92  8.   89.  ], Action: 0, Reward: -0.0, Next state: [60.   38.92  9.   89.  ]
State: [60.   38.92  9.   89.  ], Action: 0, Reward: -0.0, Next state: [60.   40.01 10.   89.  ]
State: [60.   40.01 10.   89.  ], Action: 1, Reward: -400.09999999999997, Next state: [70. 41. 11. 89.]
State: [70. 41. 11. 89.], Action: 1, Reward: -410.0, Next state: [80. 40. 12. 89.]
State: [80. 40. 12. 89.], Action: 1, Reward: -400.0, Next state: [90.   41.93 13.   89.  ]
State: [90.   41.93 13.   89.  ], Action: 0, Reward: -0.0, Next state: [90.   35.98 14.   89.  ]
State: [90.   35.98 14.   89.  ], Action: 0, Reward: -0.0, Next state: [90.   33.92 15.   89.  ]
State: [90.   33.92 15.   89.  ], Action: 0, Reward: -0.0, Next state: [90.   31.97 16.   89.  ]
State: [90.   31.97 16.   89.  ], Action: 0, Reward: -0.0, Next state: [90.   28.99 17.   89.  ]
State: [90.   28.99 17.   89.  ], Action: 0, Reward: -0.0, Next state: [90.   27.97 18.   89.  ]
State: [90.   27.97 18.   89.  ], Action: 2, Reward: -279.7, Next state: [100.    29.96  19.    89.  ]
State: [100.    29.96  19.    89.  ], Action: 2, Reward: -299.6, Next state: [110.    30.29  20.    89.  ]
State: [110.    30.29  20.    89.  ], Action: 2, Reward: -302.9, Next state: [120.    34.95  21.    89.  ]
State: [120.    34.95  21.    89.  ], Action: 0, Reward: -0.0, Next state: [120.    30.93  22.    89.  ]
State: [120.    30.93  22.    89.  ], Action: 0, Reward: -0.0, Next state: [120.    30.91  23.    89.  ]
State: [120.    30.91  23.    89.  ], Action: 0, Reward: -0.0, Next state: [120.    29.92  24.    89.  ]
State: [120.    29.92  24.    89.  ], Action: 0, Reward: -0.0, Next state: [ 0.   28.94  1.   90.  ]
State: [ 0.   28.94  1.   90.  ], Action: 0, Reward: -0.0, Next state: [ 0.   26.97  2.   90.  ]
State: [ 0.   26.97  2.   90.  ], Action: 0, Reward: -0.0, Next state: [ 0.   25.96  3.   90.  ]
State: [ 0.   25.96  3.   90.  ], Action: 0, Reward: -0.0, Next state: [ 0.   23.51  4.   90.  ]
State: [ 0.   23.51  4.   90.  ], Action: 0, Reward: -0.0, Next state: [ 0. 22.  5. 90.]
State: [ 0. 22.  5. 90.], Action: 0, Reward: -0.0, Next state: [ 0.   21.97  6.   90.  ]
State: [ 0.   21.97  6.   90.  ], Action: 1, Reward: -219.7, Next state: [10.   24.97  7.   90.  ]
State: [10.   24.97  7.   90.  ], Action: 1, Reward: -249.7, Next state: [20.   27.98  8.   90.  ]
State: [20.   27.98  8.   90.  ], Action: 1, Reward: -279.8, Next state: [30.   29.99  9.   90.  ]
State: [30.   29.99  9.   90.  ], Action: 1, Reward: -299.9, Next state: [40. 34. 10. 90.]
State: [40. 34. 10. 90.], Action: 2, Reward: -340.0, Next state: [50.   37.71 11.   90.  ]
State: [50.   37.71 11.   90.  ], Action: 2, Reward: -377.1, Next state: [60.   36.01 12.   90.  ]
State: [60.   36.01 12.   90.  ], Action: 1, Reward: -360.09999999999997, Next state: [70.   32.99 13.   90.  ]
State: [70.   32.99 13.   90.  ], Action: 1, Reward: -329.90000000000003, Next state: [80.   30.34 14.   90.  ]
State: [80.   30.34 14.   90.  ], Action: 1, Reward: -303.4, Next state: [90.   28.92 15.   90.  ]
State: [90.   28.92 15.   90.  ], Action: 1, Reward: -289.20000000000005, Next state: [100.    26.97  16.    90.  ]
State: [100.    26.97  16.    90.  ], Action: 1, Reward: -269.7, Next state: [110.    25.92  17.    90.  ]
State: [110.    25.92  17.    90.  ], Action: 1, Reward: -259.20000000000005, Next state: [120.    25.94  18.    90.  ]
State: [120.    25.94  18.    90.  ], Action: 0, Reward: -0.0, Next state: [120.   27.9  19.   90. ]
State: [120.   27.9  19.   90. ], Action: 0, Reward: -0.0, Next state: [120.    28.94  20.    90.  ]
State: [120.    28.94  20.    90.  ], Action: 0, Reward: -0.0, Next state: [120.    30.04  21.    90.  ]
State: [120.    30.04  21.    90.  ], Action: 0, Reward: -0.0, Next state: [120.    27.97  22.    90.  ]
State: [120.    27.97  22.    90.  ], Action: 2, Reward: -279.7, Next state: [130.  30.  23.  90.]
State: [130.  30.  23.  90.], Action: 2, Reward: -300.0, Next state: [140.    29.93  24.    90.  ]
State: [140.    29.93  24.    90.  ], Action: 2, Reward: -299.3, Next state: [30.   29.98  1.   91.  ]
State: [30.   29.98  1.   91.  ], Action: 0, Reward: -0.0, Next state: [30.   27.97  2.   91.  ]
State: [30.   27.97  2.   91.  ], Action: 0, Reward: -0.0, Next state: [30.   28.32  3.   91.  ]
State: [30.   28.32  3.   91.  ], Action: 0, Reward: -0.0, Next state: [30.   25.03  4.   91.  ]
State: [30.   25.03  4.   91.  ], Action: 0, Reward: -0.0, Next state: [30.   23.28  5.   91.  ]
State: [30.   23.28  5.   91.  ], Action: 0, Reward: -0.0, Next state: [30.   24.94  6.   91.  ]
State: [30.   24.94  6.   91.  ], Action: 0, Reward: -0.0, Next state: [30.   25.93  7.   91.  ]
State: [30.   25.93  7.   91.  ], Action: 0, Reward: -0.0, Next state: [30. 25.  8. 91.]
State: [30. 25.  8. 91.], Action: 0, Reward: -0.0, Next state: [30.   24.85  9.   91.  ]
State: [30.   24.85  9.   91.  ], Action: 0, Reward: -0.0, Next state: [30.   27.93 10.   91.  ]
State: [30.   27.93 10.   91.  ], Action: 2, Reward: -279.3, Next state: [40.   28.99 11.   91.  ]
State: [40.   28.99 11.   91.  ], Action: 2, Reward: -289.9, Next state: [50.   29.95 12.   91.  ]
State: [50.   29.95 12.   91.  ], Action: 2, Reward: -299.5, Next state: [60.   29.97 13.   91.  ]
State: [60.   29.97 13.   91.  ], Action: 1, Reward: -299.7, Next state: [70.   26.99 14.   91.  ]
State: [70.   26.99 14.   91.  ], Action: 2, Reward: -269.9, Next state: [80.   22.84 15.   91.  ]
State: [80.   22.84 15.   91.  ], Action: 2, Reward: -228.4, Next state: [90.   21.92 16.   91.  ]
State: [90.   21.92 16.   91.  ], Action: 0, Reward: -0.0, Next state: [90.   28.91 17.   91.  ]
State: [90.   28.91 17.   91.  ], Action: 0, Reward: -0.0, Next state: [90. 20. 18. 91.]
State: [90. 20. 18. 91.], Action: 2, Reward: -200.0, Next state: [100.    24.72  19.    91.  ]
State: [100.    24.72  19.    91.  ], Action: 2, Reward: -247.2, Next state: [110.    29.96  20.    91.  ]
State: [110.    29.96  20.    91.  ], Action: 2, Reward: -299.6, Next state: [120.    32.64  21.    91.  ]
State: [120.    32.64  21.    91.  ], Action: 2, Reward: -326.4, Next state: [130.    30.96  22.    91.  ]
State: [130.    30.96  22.    91.  ], Action: 1, Reward: -309.6, Next state: [140.    32.91  23.    91.  ]
State: [140.    32.91  23.    91.  ], Action: 1, Reward: -329.09999999999997, Next state: [150.    27.91  24.    91.  ]
State: [150.    27.91  24.    91.  ], Action: 0, Reward: -0.0, Next state: [30.  27.9  1.  92. ]
State: [30.  27.9  1.  92. ], Action: 1, Reward: -279.0, Next state: [40.   24.12  2.   92.  ]
State: [40.   24.12  2.   92.  ], Action: 1, Reward: -241.20000000000002, Next state: [50.   21.99  3.   92.  ]
State: [50.   21.99  3.   92.  ], Action: 1, Reward: -219.89999999999998, Next state: [60.   21.46  4.   92.  ]
State: [60.   21.46  4.   92.  ], Action: 0, Reward: -0.0, Next state: [60.   21.59  5.   92.  ]
State: [60.   21.59  5.   92.  ], Action: 0, Reward: -0.0, Next state: [60.   28.01  6.   92.  ]
State: [60.   28.01  6.   92.  ], Action: 1, Reward: -280.1, Next state: [70.   32.99  7.   92.  ]
State: [70.   32.99  7.   92.  ], Action: 1, Reward: -329.90000000000003, Next state: [80.   41.26  8.   92.  ]
State: [80.   41.26  8.   92.  ], Action: 1, Reward: -412.59999999999997, Next state: [90.   46.67  9.   92.  ]
State: [90.   46.67  9.   92.  ], Action: 0, Reward: -0.0, Next state: [90.   51.99 10.   92.  ]
State: [90.   51.99 10.   92.  ], Action: 0, Reward: -0.0, Next state: [90.  51.1 11.  92. ]
State: [90.  51.1 11.  92. ], Action: 0, Reward: -0.0, Next state: [90.   53.11 12.   92.  ]
State: [90.   53.11 12.   92.  ], Action: 0, Reward: -0.0, Next state: [90.   49.83 13.   92.  ]
State: [90.   49.83 13.   92.  ], Action: 0, Reward: -0.0, Next state: [90.   46.66 14.   92.  ]
State: [90.   46.66 14.   92.  ], Action: 0, Reward: -0.0, Next state: [90.   42.98 15.   92.  ]
State: [90.   42.98 15.   92.  ], Action: 0, Reward: -0.0, Next state: [90.   39.87 16.   92.  ]
State: [90.   39.87 16.   92.  ], Action: 0, Reward: -0.0, Next state: [90.   34.62 17.   92.  ]
State: [90.   34.62 17.   92.  ], Action: 0, Reward: -0.0, Next state: [90.   35.35 18.   92.  ]
State: [90.   35.35 18.   92.  ], Action: 2, Reward: -353.5, Next state: [100.    33.39  19.    92.  ]
State: [100.    33.39  19.    92.  ], Action: 2, Reward: -333.9, Next state: [110.    32.99  20.    92.  ]
State: [110.    32.99  20.    92.  ], Action: 2, Reward: -329.90000000000003, Next state: [120.    42.36  21.    92.  ]
State: [120.    42.36  21.    92.  ], Action: 0, Reward: -0.0, Next state: [120.   38.6  22.   92. ]
State: [120.   38.6  22.   92. ], Action: 2, Reward: -386.0, Next state: [130.    34.91  23.    92.  ]
State: [130.    34.91  23.    92.  ], Action: 2, Reward: -349.09999999999997, Next state: [140.    32.98  24.    92.  ]
State: [140.    32.98  24.    92.  ], Action: 2, Reward: -329.79999999999995, Next state: [30.   25.05  1.   93.  ]
State: [30.   25.05  1.   93.  ], Action: 2, Reward: -250.5, Next state: [40.  22.5  2.  93. ]
State: [40.  22.5  2.  93. ], Action: 2, Reward: -225.0, Next state: [50.  21.5  3.  93. ]
State: [50.  21.5  3.  93. ], Action: 2, Reward: -215.0, Next state: [60.   20.06  4.   93.  ]
State: [60.   20.06  4.   93.  ], Action: 0, Reward: -0.0, Next state: [60.   18.87  5.   93.  ]
State: [60.   18.87  5.   93.  ], Action: 0, Reward: -0.0, Next state: [60.   24.44  6.   93.  ]
State: [60.   24.44  6.   93.  ], Action: 2, Reward: -244.4, Next state: [70.   28.35  7.   93.  ]
State: [70.   28.35  7.   93.  ], Action: 2, Reward: -283.5, Next state: [80.   45.01  8.   93.  ]
State: [80.   45.01  8.   93.  ], Action: 2, Reward: -450.09999999999997, Next state: [90.   46.01  9.   93.  ]
State: [90.   46.01  9.   93.  ], Action: 0, Reward: -0.0, Next state: [90.   46.02 10.   93.  ]
State: [90.   46.02 10.   93.  ], Action: 0, Reward: -0.0, Next state: [90.  45.8 11.  93. ]
State: [90.  45.8 11.  93. ], Action: 0, Reward: -0.0, Next state: [90.   47.56 12.   93.  ]
State: [90.   47.56 12.   93.  ], Action: 0, Reward: -0.0, Next state: [90.   43.87 13.   93.  ]
State: [90.   43.87 13.   93.  ], Action: 0, Reward: -0.0, Next state: [90.   40.01 14.   93.  ]
State: [90.   40.01 14.   93.  ], Action: 0, Reward: -0.0, Next state: [90.   35.35 15.   93.  ]
State: [90.   35.35 15.   93.  ], Action: 0, Reward: -0.0, Next state: [90.   32.99 16.   93.  ]
State: [90.   32.99 16.   93.  ], Action: 0, Reward: -0.0, Next state: [90.   29.09 17.   93.  ]
State: [90.   29.09 17.   93.  ], Action: 0, Reward: -0.0, Next state: [90.   28.87 18.   93.  ]
State: [90.   28.87 18.   93.  ], Action: 1, Reward: -288.7, Next state: [100.    29.51  19.    93.  ]
State: [100.    29.51  19.    93.  ], Action: 1, Reward: -295.1, Next state: [110.    29.97  20.    93.  ]
State: [110.    29.97  20.    93.  ], Action: 1, Reward: -299.7, Next state: [120.    38.04  21.    93.  ]
State: [120.    38.04  21.    93.  ], Action: 0, Reward: -0.0, Next state: [120.    31.06  22.    93.  ]
State: [120.    31.06  22.    93.  ], Action: 1, Reward: -310.59999999999997, Next state: [130.    32.01  23.    93.  ]
State: [130.    32.01  23.    93.  ], Action: 1, Reward: -320.09999999999997, Next state: [140.    29.75  24.    93.  ]
State: [140.    29.75  24.    93.  ], Action: 1, Reward: -297.5, Next state: [30.   29.02  1.   94.  ]
State: [30.   29.02  1.   94.  ], Action: 2, Reward: -290.2, Next state: [40. 26.  2. 94.]
State: [40. 26.  2. 94.], Action: 2, Reward: -260.0, Next state: [50. 24.  3. 94.]
State: [50. 24.  3. 94.], Action: 2, Reward: -240.0, Next state: [60.   23.08  4.   94.  ]
State: [60.   23.08  4.   94.  ], Action: 0, Reward: -0.0, Next state: [60.   21.39  5.   94.  ]
State: [60.   21.39  5.   94.  ], Action: 0, Reward: -0.0, Next state: [60.  26.1  6.  94. ]
State: [60.  26.1  6.  94. ], Action: 2, Reward: -261.0, Next state: [70. 30.  7. 94.]
State: [70. 30.  7. 94.], Action: 2, Reward: -300.0, Next state: [80.   42.37  8.   94.  ]
State: [80.   42.37  8.   94.  ], Action: 2, Reward: -423.7, Next state: [90.   43.52  9.   94.  ]
State: [90.   43.52  9.   94.  ], Action: 0, Reward: -0.0, Next state: [90.   45.15 10.   94.  ]
State: [90.   45.15 10.   94.  ], Action: 0, Reward: -0.0, Next state: [90.   47.01 11.   94.  ]
State: [90.   47.01 11.   94.  ], Action: 0, Reward: -0.0, Next state: [90.  48.5 12.  94. ]
State: [90.  48.5 12.  94. ], Action: 0, Reward: -0.0, Next state: [90.   45.05 13.   94.  ]
State: [90.   45.05 13.   94.  ], Action: 0, Reward: -0.0, Next state: [90.  40.3 14.  94. ]
State: [90.  40.3 14.  94. ], Action: 2, Reward: -403.0, Next state: [100.    35.96  15.    94.  ]
State: [100.    35.96  15.    94.  ], Action: 2, Reward: -359.6, Next state: [110.    34.91  16.    94.  ]
State: [110.    34.91  16.    94.  ], Action: 2, Reward: -349.09999999999997, Next state: [120.    32.67  17.    94.  ]
State: [120.    32.67  17.    94.  ], Action: 0, Reward: -0.0, Next state: [120.    31.61  18.    94.  ]
State: [120.    31.61  18.    94.  ], Action: 0, Reward: -0.0, Next state: [120.    31.09  19.    94.  ]
State: [120.    31.09  19.    94.  ], Action: 0, Reward: -0.0, Next state: [120.   32.1  20.   94. ]
State: [120.   32.1  20.   94. ], Action: 0, Reward: -0.0, Next state: [120.    36.84  21.    94.  ]
State: [120.    36.84  21.    94.  ], Action: 0, Reward: -0.0, Next state: [120.    34.56  22.    94.  ]
State: [120.    34.56  22.    94.  ], Action: 2, Reward: -345.6, Next state: [130.  33.  23.  94.]
State: [130.  33.  23.  94.], Action: 2, Reward: -330.0, Next state: [140.    31.08  24.    94.  ]
State: [140.    31.08  24.    94.  ], Action: 2, Reward: -310.79999999999995, Next state: [30.   27.02  1.   95.  ]
State: [30.   27.02  1.   95.  ], Action: 2, Reward: -270.2, Next state: [40.   25.09  2.   95.  ]
State: [40.   25.09  2.   95.  ], Action: 2, Reward: -250.9, Next state: [50. 25.  3. 95.]
State: [50. 25.  3. 95.], Action: 2, Reward: -250.0, Next state: [60.   24.64  4.   95.  ]
State: [60.   24.64  4.   95.  ], Action: 0, Reward: -0.0, Next state: [60.   23.11  5.   95.  ]
State: [60.   23.11  5.   95.  ], Action: 0, Reward: -0.0, Next state: [60. 27.  6. 95.]
State: [60. 27.  6. 95.], Action: 0, Reward: -0.0, Next state: [60.   28.02  7.   95.  ]
State: [60.   28.02  7.   95.  ], Action: 0, Reward: -0.0, Next state: [60.   36.99  8.   95.  ]
State: [60.   36.99  8.   95.  ], Action: 0, Reward: -0.0, Next state: [60.   41.12  9.   95.  ]
State: [60.   41.12  9.   95.  ], Action: 0, Reward: -0.0, Next state: [60.   42.94 10.   95.  ]
State: [60.   42.94 10.   95.  ], Action: 0, Reward: -0.0, Next state: [60.   41.08 11.   95.  ]
State: [60.   41.08 11.   95.  ], Action: 0, Reward: -0.0, Next state: [60.   39.92 12.   95.  ]
State: [60.   39.92 12.   95.  ], Action: 0, Reward: -0.0, Next state: [60.   37.98 13.   95.  ]
State: [60.   37.98 13.   95.  ], Action: 0, Reward: -0.0, Next state: [60.   36.93 14.   95.  ]
State: [60.   36.93 14.   95.  ], Action: 1, Reward: -369.3, Next state: [70.   33.96 15.   95.  ]
State: [70.   33.96 15.   95.  ], Action: 1, Reward: -339.6, Next state: [80.   30.98 16.   95.  ]
State: [80.   30.98 16.   95.  ], Action: 1, Reward: -309.8, Next state: [90.   27.99 17.   95.  ]
State: [90.   27.99 17.   95.  ], Action: 1, Reward: -279.9, Next state: [100.    25.33  18.    95.  ]
State: [100.    25.33  18.    95.  ], Action: 1, Reward: -253.29999999999998, Next state: [110.  27.  19.  95.]
State: [110.  27.  19.  95.], Action: 1, Reward: -270.0, Next state: [120.    28.52  20.    95.  ]
State: [120.    28.52  20.    95.  ], Action: 0, Reward: -0.0, Next state: [120.    30.97  21.    95.  ]
State: [120.    30.97  21.    95.  ], Action: 0, Reward: -0.0, Next state: [120.    30.91  22.    95.  ]
State: [120.    30.91  22.    95.  ], Action: 2, Reward: -309.1, Next state: [130.    32.94  23.    95.  ]
State: [130.    32.94  23.    95.  ], Action: 2, Reward: -329.4, Next state: [140.    31.42  24.    95.  ]
State: [140.    31.42  24.    95.  ], Action: 2, Reward: -314.20000000000005, Next state: [30.   28.98  1.   96.  ]
State: [30.   28.98  1.   96.  ], Action: 1, Reward: -289.8, Next state: [40.   26.08  2.   96.  ]
State: [40.   26.08  2.   96.  ], Action: 1, Reward: -260.79999999999995, Next state: [50.  24.4  3.  96. ]
State: [50.  24.4  3.  96. ], Action: 1, Reward: -244.0, Next state: [60.   23.09  4.   96.  ]
State: [60.   23.09  4.   96.  ], Action: 0, Reward: -0.0, Next state: [60.   21.99  5.   96.  ]
State: [60.   21.99  5.   96.  ], Action: 0, Reward: -0.0, Next state: [60.   24.09  6.   96.  ]
State: [60.   24.09  6.   96.  ], Action: 0, Reward: -0.0, Next state: [60.   29.95  7.   96.  ]
State: [60.   29.95  7.   96.  ], Action: 0, Reward: -0.0, Next state: [60.   35.95  8.   96.  ]
State: [60.   35.95  8.   96.  ], Action: 0, Reward: -0.0, Next state: [60.  43.6  9.  96. ]
State: [60.  43.6  9.  96. ], Action: 0, Reward: -0.0, Next state: [60.   40.98 10.   96.  ]
State: [60.   40.98 10.   96.  ], Action: 1, Reward: -409.79999999999995, Next state: [70.   37.98 11.   96.  ]
State: [70.   37.98 11.   96.  ], Action: 1, Reward: -379.79999999999995, Next state: [80.   37.49 12.   96.  ]
State: [80.   37.49 12.   96.  ], Action: 1, Reward: -374.90000000000003, Next state: [90.   35.98 13.   96.  ]
State: [90.   35.98 13.   96.  ], Action: 0, Reward: -0.0, Next state: [90.   35.94 14.   96.  ]
State: [90.   35.94 14.   96.  ], Action: 0, Reward: -0.0, Next state: [90.   32.96 15.   96.  ]
State: [90.   32.96 15.   96.  ], Action: 0, Reward: -0.0, Next state: [90.   28.97 16.   96.  ]
State: [90.   28.97 16.   96.  ], Action: 0, Reward: -0.0, Next state: [90.   26.91 17.   96.  ]
State: [90.   26.91 17.   96.  ], Action: 0, Reward: -0.0, Next state: [90.   25.93 18.   96.  ]
State: [90.   25.93 18.   96.  ], Action: 2, Reward: -259.3, Next state: [100.    26.69  19.    96.  ]
State: [100.    26.69  19.    96.  ], Action: 2, Reward: -266.90000000000003, Next state: [110.    26.94  20.    96.  ]
State: [110.    26.94  20.    96.  ], Action: 2, Reward: -269.40000000000003, Next state: [120.    30.65  21.    96.  ]
State: [120.    30.65  21.    96.  ], Action: 0, Reward: -0.0, Next state: [120.    28.73  22.    96.  ]
State: [120.    28.73  22.    96.  ], Action: 0, Reward: -0.0, Next state: [120.  30.  23.  96.]
State: [120.  30.  23.  96.], Action: 0, Reward: -0.0, Next state: [120.   29.9  24.   96. ]
State: [120.   29.9  24.   96. ], Action: 0, Reward: -0.0, Next state: [ 0.   28.97  1.   97.  ]
State: [ 0.   28.97  1.   97.  ], Action: 0, Reward: -0.0, Next state: [ 0.   28.93  2.   97.  ]
State: [ 0.   28.93  2.   97.  ], Action: 0, Reward: -0.0, Next state: [ 0.   27.92  3.   97.  ]
State: [ 0.   27.92  3.   97.  ], Action: 0, Reward: -0.0, Next state: [ 0. 24.  4. 97.]
State: [ 0. 24.  4. 97.], Action: 0, Reward: -0.0, Next state: [ 0.   22.94  5.   97.  ]
State: [ 0.   22.94  5.   97.  ], Action: 0, Reward: -0.0, Next state: [ 0.   25.01  6.   97.  ]
State: [ 0.   25.01  6.   97.  ], Action: 1, Reward: -250.10000000000002, Next state: [10.   25.95  7.   97.  ]
State: [10.   25.95  7.   97.  ], Action: 1, Reward: -259.5, Next state: [20.   28.97  8.   97.  ]
State: [20.   28.97  8.   97.  ], Action: 1, Reward: -289.7, Next state: [30.   30.91  9.   97.  ]
State: [30.   30.91  9.   97.  ], Action: 1, Reward: -309.1, Next state: [40.   33.92 10.   97.  ]
State: [40.   33.92 10.   97.  ], Action: 2, Reward: -339.20000000000005, Next state: [50.   35.95 11.   97.  ]
State: [50.   35.95 11.   97.  ], Action: 2, Reward: -359.5, Next state: [60.  36.9 12.  97. ]
State: [60.  36.9 12.  97. ], Action: 1, Reward: -369.0, Next state: [70.   36.54 13.   97.  ]
State: [70.   36.54 13.   97.  ], Action: 1, Reward: -365.4, Next state: [80.   32.97 14.   97.  ]
State: [80.   32.97 14.   97.  ], Action: 1, Reward: -329.7, Next state: [90.   29.96 15.   97.  ]
State: [90.   29.96 15.   97.  ], Action: 1, Reward: -299.6, Next state: [100.  27.  16.  97.]
State: [100.  27.  16.  97.], Action: 1, Reward: -270.0, Next state: [110.    24.98  17.    97.  ]
State: [110.    24.98  17.    97.  ], Action: 1, Reward: -249.8, Next state: [120.    26.93  18.    97.  ]
State: [120.    26.93  18.    97.  ], Action: 0, Reward: -0.0, Next state: [120.    28.92  19.    97.  ]
State: [120.    28.92  19.    97.  ], Action: 0, Reward: -0.0, Next state: [120.    28.99  20.    97.  ]
State: [120.    28.99  20.    97.  ], Action: 0, Reward: -0.0, Next state: [120.    30.98  21.    97.  ]
State: [120.    30.98  21.    97.  ], Action: 0, Reward: -0.0, Next state: [120.    30.97  22.    97.  ]
State: [120.    30.97  22.    97.  ], Action: 2, Reward: -309.7, Next state: [130.    32.91  23.    97.  ]
State: [130.    32.91  23.    97.  ], Action: 2, Reward: -329.09999999999997, Next state: [140.    29.96  24.    97.  ]
State: [140.    29.96  24.    97.  ], Action: 2, Reward: -299.6, Next state: [30.   27.95  1.   98.  ]
State: [30.   27.95  1.   98.  ], Action: 0, Reward: -0.0, Next state: [30.   27.97  2.   98.  ]
State: [30.   27.97  2.   98.  ], Action: 0, Reward: -0.0, Next state: [30.   26.93  3.   98.  ]
State: [30.   26.93  3.   98.  ], Action: 0, Reward: -0.0, Next state: [30.   24.91  4.   98.  ]
State: [30.   24.91  4.   98.  ], Action: 0, Reward: -0.0, Next state: [30.   20.72  5.   98.  ]
State: [30.   20.72  5.   98.  ], Action: 0, Reward: -0.0, Next state: [30. 21.  6. 98.]
State: [30. 21.  6. 98.], Action: 0, Reward: -0.0, Next state: [30.   22.93  7.   98.  ]
State: [30.   22.93  7.   98.  ], Action: 0, Reward: -0.0, Next state: [30.   20.74  8.   98.  ]
State: [30.   20.74  8.   98.  ], Action: 0, Reward: -0.0, Next state: [30.   26.54  9.   98.  ]
State: [30.   26.54  9.   98.  ], Action: 0, Reward: -0.0, Next state: [30.   27.97 10.   98.  ]
State: [30.   27.97 10.   98.  ], Action: 2, Reward: -279.7, Next state: [40.   28.92 11.   98.  ]
State: [40.   28.92 11.   98.  ], Action: 2, Reward: -289.20000000000005, Next state: [50.   28.93 12.   98.  ]
State: [50.   28.93 12.   98.  ], Action: 2, Reward: -289.3, Next state: [60.   30.94 13.   98.  ]
State: [60.   30.94 13.   98.  ], Action: 1, Reward: -309.40000000000003, Next state: [70.  22.7 14.  98. ]
State: [70.  22.7 14.  98. ], Action: 2, Reward: -227.0, Next state: [80.   21.29 15.   98.  ]
State: [80.   21.29 15.   98.  ], Action: 2, Reward: -212.89999999999998, Next state: [90.   19.58 16.   98.  ]
State: [90.   19.58 16.   98.  ], Action: 0, Reward: -0.0, Next state: [90.   19.03 17.   98.  ]
State: [90.   19.03 17.   98.  ], Action: 0, Reward: -0.0, Next state: [90.   21.08 18.   98.  ]
State: [90.   21.08 18.   98.  ], Action: 2, Reward: -210.79999999999998, Next state: [100.    23.17  19.    98.  ]
State: [100.    23.17  19.    98.  ], Action: 2, Reward: -231.70000000000002, Next state: [110.    26.91  20.    98.  ]
State: [110.    26.91  20.    98.  ], Action: 2, Reward: -269.1, Next state: [120.    28.92  21.    98.  ]
State: [120.    28.92  21.    98.  ], Action: 2, Reward: -289.20000000000005, Next state: [130.    28.99  22.    98.  ]
State: [130.    28.99  22.    98.  ], Action: 1, Reward: -289.9, Next state: [140.    30.94  23.    98.  ]
State: [140.    30.94  23.    98.  ], Action: 1, Reward: -309.40000000000003, Next state: [150.    28.92  24.    98.  ]
State: [150.    28.92  24.    98.  ], Action: 0, Reward: -0.0, Next state: [30.   25.02  1.   99.  ]
State: [30.   25.02  1.   99.  ], Action: 1, Reward: -250.2, Next state: [40.   21.76  2.   99.  ]
State: [40.   21.76  2.   99.  ], Action: 1, Reward: -217.60000000000002, Next state: [50.   21.28  3.   99.  ]
State: [50.   21.28  3.   99.  ], Action: 1, Reward: -212.8, Next state: [60. 22.  4. 99.]
State: [60. 22.  4. 99.], Action: 0, Reward: -0.0, Next state: [60.   15.06  5.   99.  ]
State: [60.   15.06  5.   99.  ], Action: 0, Reward: -0.0, Next state: [60.   20.73  6.   99.  ]
State: [60.   20.73  6.   99.  ], Action: 1, Reward: -207.3, Next state: [70.  16.5  7.  99. ]
State: [70.  16.5  7.  99. ], Action: 1, Reward: -165.0, Next state: [80.   14.63  8.   99.  ]
State: [80.   14.63  8.   99.  ], Action: 1, Reward: -146.3, Next state: [90.   20.74  9.   99.  ]
State: [90.   20.74  9.   99.  ], Action: 0, Reward: -0.0, Next state: [90.   23.96 10.   99.  ]
State: [90.   23.96 10.   99.  ], Action: 0, Reward: -0.0, Next state: [90.   22.25 11.   99.  ]
State: [90.   22.25 11.   99.  ], Action: 0, Reward: -0.0, Next state: [90. 26. 12. 99.]
State: [90. 26. 12. 99.], Action: 0, Reward: -0.0, Next state: [90.   26.03 13.   99.  ]
State: [90.   26.03 13.   99.  ], Action: 0, Reward: -0.0, Next state: [90.   23.67 14.   99.  ]
State: [90.   23.67 14.   99.  ], Action: 0, Reward: -0.0, Next state: [90.   20.13 15.   99.  ]
State: [90.   20.13 15.   99.  ], Action: 0, Reward: -0.0, Next state: [90.   14.93 16.   99.  ]
State: [90.   14.93 16.   99.  ], Action: 0, Reward: -0.0, Next state: [90.    5.98 17.   99.  ]
