Transition Profile during evaluationwithout reward shaping:
Q-table shape: (5, 5, 6, 7, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week']
State bin size: [10, 10, 6, 7]
Bins length: 4
Bins: [array([  0.,  29.,  58.,  87., 116., 145., 174., 203., 232., 261., 290.]), array([1.000000e-02, 2.500090e+02, 5.000080e+02, 7.500070e+02,
       1.000006e+03, 1.250005e+03, 1.500004e+03, 1.750003e+03,
       2.000002e+03, 2.250001e+03, 2.500000e+03]), array([ 1.,  5.,  9., 13., 17., 21., 25.]), array([0.        , 0.85714286, 1.71428571, 2.57142857, 3.42857143,
       4.28571429, 5.14285714, 6.        ])]
Discount rate: 0.95
Small reward: 50000
Large reward: 100000
Learning rate: 0.05
N simulations: 10
State: [30.   15.91  4.    5.  ], Action: 0, Reward: -0.0, Next state: [30.  11.4  5.   5. ]
State: [30.  11.4  5.   5. ], Action: 0, Reward: -0.0, Next state: [30.   22.65  6.    5.  ]
State: [30.   22.65  6.    5.  ], Action: 2, Reward: -226.5, Next state: [40.  27.3  7.   5. ]
State: [40.  27.3  7.   5. ], Action: 2, Reward: -273.0, Next state: [50. 34.  8.  5.]
State: [50. 34.  8.  5.], Action: 2, Reward: -340.0, Next state: [60.   40.01  9.    5.  ]
State: [60.   40.01  9.    5.  ], Action: 0, Reward: -0.0, Next state: [60. 45. 10.  5.]
State: [60. 45. 10.  5.], Action: 0, Reward: -0.0, Next state: [60.   50.34 11.    5.  ]
State: [60.   50.34 11.    5.  ], Action: 0, Reward: -0.0, Next state: [60.   49.84 12.    5.  ]
State: [60.   49.84 12.    5.  ], Action: 0, Reward: -0.0, Next state: [60.   48.81 13.    5.  ]
State: [60.   48.81 13.    5.  ], Action: 0, Reward: -0.0, Next state: [60.   47.94 14.    5.  ]
State: [60.   47.94 14.    5.  ], Action: 0, Reward: -0.0, Next state: [60.   40.06 15.    5.  ]
State: [60.   40.06 15.    5.  ], Action: 0, Reward: -0.0, Next state: [60. 38. 16.  5.]
State: [60. 38. 16.  5.], Action: 0, Reward: -0.0, Next state: [60.   38.61 17.    5.  ]
State: [60.   38.61 17.    5.  ], Action: 0, Reward: -0.0, Next state: [60.   49.84 18.    5.  ]
State: [60.   49.84 18.    5.  ], Action: 0, Reward: -0.0, Next state: [60. 53. 19.  5.]
State: [60. 53. 19.  5.], Action: 0, Reward: -530.0, Next state: [70.   45.91 20.    5.  ]
State: [70.   45.91 20.    5.  ], Action: 0, Reward: -459.09999999999997, Next state: [80.   36.74 21.    5.  ]
State: [80.   36.74 21.    5.  ], Action: 0, Reward: -367.40000000000003, Next state: [90.   29.61 22.    5.  ]
State: [90.   29.61 22.    5.  ], Action: 0, Reward: -296.1, Next state: [100.    30.61  23.     5.  ]
State: [100.    30.61  23.     5.  ], Action: 0, Reward: -306.1, Next state: [110.    27.51  24.     5.  ]
State: [110.    27.51  24.     5.  ], Action: 0, Reward: -275.1, Next state: [ 0. 25.  1.  6.]
State: [ 0. 25.  1.  6.], Action: 0, Reward: -0.0, Next state: [ 0.   22.99  2.    6.  ]
State: [ 0.   22.99  2.    6.  ], Action: 0, Reward: -0.0, Next state: [ 0.   20.99  3.    6.  ]
State: [ 0.   20.99  3.    6.  ], Action: 0, Reward: -0.0, Next state: [ 0. 18.  4.  6.]
State: [ 0. 18.  4.  6.], Action: 0, Reward: -0.0, Next state: [ 0.   16.95  5.    6.  ]
State: [ 0.   16.95  5.    6.  ], Action: 0, Reward: -0.0, Next state: [ 0.   20.01  6.    6.  ]
State: [ 0.   20.01  6.    6.  ], Action: 2, Reward: -200.10000000000002, Next state: [10. 20.  7.  6.]
State: [10. 20.  7.  6.], Action: 2, Reward: -200.0, Next state: [20.   25.57  8.    6.  ]
State: [20.   25.57  8.    6.  ], Action: 2, Reward: -255.7, Next state: [30.   27.69  9.    6.  ]
State: [30.   27.69  9.    6.  ], Action: 2, Reward: -276.90000000000003, Next state: [40.   29.61 10.    6.  ]
State: [40.   29.61 10.    6.  ], Action: 1, Reward: -296.1, Next state: [50.   31.99 11.    6.  ]
State: [50.   31.99 11.    6.  ], Action: 1, Reward: -319.9, Next state: [60.   33.07 12.    6.  ]
State: [60.   33.07 12.    6.  ], Action: 0, Reward: -0.0, Next state: [60.   35.99 13.    6.  ]
State: [60.   35.99 13.    6.  ], Action: 0, Reward: -0.0, Next state: [60.   33.11 14.    6.  ]
State: [60.   33.11 14.    6.  ], Action: 0, Reward: -0.0, Next state: [60.  31.3 15.   6. ]
State: [60.  31.3 15.   6. ], Action: 0, Reward: -0.0, Next state: [60.   29.29 16.    6.  ]
State: [60.   29.29 16.    6.  ], Action: 0, Reward: -0.0, Next state: [60.   30.19 17.    6.  ]
State: [60.   30.19 17.    6.  ], Action: 0, Reward: -0.0, Next state: [60.   42.05 18.    6.  ]
State: [60.   42.05 18.    6.  ], Action: 0, Reward: -0.0, Next state: [60. 50. 19.  6.]
State: [60. 50. 19.  6.], Action: 0, Reward: -500.0, Next state: [70.  48.3 20.   6. ]
State: [70.  48.3 20.   6. ], Action: 0, Reward: -483.0, Next state: [80.   34.49 21.    6.  ]
State: [80.   34.49 21.    6.  ], Action: 0, Reward: -344.90000000000003, Next state: [90.   28.99 22.    6.  ]
State: [90.   28.99 22.    6.  ], Action: 0, Reward: -289.9, Next state: [100.  30.  23.   6.]
State: [100.  30.  23.   6.], Action: 0, Reward: -300.0, Next state: [110.    26.75  24.     6.  ]
State: [110.    26.75  24.     6.  ], Action: 0, Reward: -267.5, Next state: [ 0. 22.  1.  7.]
State: [ 0. 22.  1.  7.], Action: 0, Reward: -0.0, Next state: [ 0.   18.29  2.    7.  ]
State: [ 0.   18.29  2.    7.  ], Action: 0, Reward: -0.0, Next state: [ 0.   16.59  3.    7.  ]
State: [ 0.   16.59  3.    7.  ], Action: 0, Reward: -0.0, Next state: [0.   9.17 4.   7.  ]
State: [0.   9.17 4.   7.  ], Action: 0, Reward: -0.0, Next state: [0. 8. 5. 7.]
State: [0. 8. 5. 7.], Action: 0, Reward: -0.0, Next state: [0.   8.19 6.   7.  ]
State: [0.   8.19 6.   7.  ], Action: 2, Reward: -81.89999999999999, Next state: [10.    9.01  7.    7.  ]
State: [10.    9.01  7.    7.  ], Action: 2, Reward: -90.1, Next state: [20.    9.06  8.    7.  ]
State: [20.    9.06  8.    7.  ], Action: 2, Reward: -90.60000000000001, Next state: [30.   12.59  9.    7.  ]
State: [30.   12.59  9.    7.  ], Action: 1, Reward: -125.9, Next state: [40.  16.1 10.   7. ]
State: [40.  16.1 10.   7. ], Action: 2, Reward: -161.0, Next state: [50. 23. 11.  7.]
State: [50. 23. 11.  7.], Action: 2, Reward: -230.0, Next state: [60.   28.27 12.    7.  ]
State: [60.   28.27 12.    7.  ], Action: 0, Reward: -0.0, Next state: [60.   26.91 13.    7.  ]
State: [60.   26.91 13.    7.  ], Action: 0, Reward: -0.0, Next state: [60.   23.99 14.    7.  ]
State: [60.   23.99 14.    7.  ], Action: 0, Reward: -0.0, Next state: [60.   20.99 15.    7.  ]
State: [60.   20.99 15.    7.  ], Action: 0, Reward: -0.0, Next state: [60.   22.59 16.    7.  ]
State: [60.   22.59 16.    7.  ], Action: 0, Reward: -0.0, Next state: [60.  22.6 17.   7. ]
State: [60.  22.6 17.   7. ], Action: 0, Reward: -0.0, Next state: [60.   33.49 18.    7.  ]
State: [60.   33.49 18.    7.  ], Action: 0, Reward: -0.0, Next state: [60.   34.99 19.    7.  ]
State: [60.   34.99 19.    7.  ], Action: 0, Reward: -349.90000000000003, Next state: [70.   35.99 20.    7.  ]
State: [70.   35.99 20.    7.  ], Action: 0, Reward: -359.90000000000003, Next state: [80.   35.69 21.    7.  ]
State: [80.   35.69 21.    7.  ], Action: 0, Reward: -356.9, Next state: [90.   29.39 22.    7.  ]
State: [90.   29.39 22.    7.  ], Action: 0, Reward: -293.9, Next state: [100.    31.29  23.     7.  ]
State: [100.    31.29  23.     7.  ], Action: 0, Reward: -312.9, Next state: [110.  23.  24.   7.]
State: [110.  23.  24.   7.], Action: 0, Reward: -230.0, Next state: [ 0. 13.  1.  8.]
State: [ 0. 13.  1.  8.], Action: 1, Reward: -130.0, Next state: [10. 13.  2.  8.]
State: [10. 13.  2.  8.], Action: 1, Reward: -130.0, Next state: [20. 10.  3.  8.]
State: [20. 10.  3.  8.], Action: 1, Reward: -100.0, Next state: [30.   3.4  4.   8. ]
State: [30.   3.4  4.   8. ], Action: 0, Reward: -0.0, Next state: [30. 10.  5.  8.]
State: [30. 10.  5.  8.], Action: 0, Reward: -0.0, Next state: [30. 13.  6.  8.]
State: [30. 13.  6.  8.], Action: 2, Reward: -130.0, Next state: [40.   24.01  7.    8.  ]
State: [40.   24.01  7.    8.  ], Action: 2, Reward: -240.10000000000002, Next state: [50.  43.9  8.   8. ]
State: [50.  43.9  8.   8. ], Action: 2, Reward: -439.0, Next state: [60.  45.7  9.   8. ]
State: [60.  45.7  9.   8. ], Action: 0, Reward: -0.0, Next state: [60. 43. 10.  8.]
State: [60. 43. 10.  8.], Action: 0, Reward: -0.0, Next state: [60. 43. 11.  8.]
State: [60. 43. 11.  8.], Action: 0, Reward: -0.0, Next state: [60. 46. 12.  8.]
State: [60. 46. 12.  8.], Action: 0, Reward: -0.0, Next state: [60.   46.01 13.    8.  ]
State: [60.   46.01 13.    8.  ], Action: 0, Reward: -0.0, Next state: [60.   46.01 14.    8.  ]
State: [60.   46.01 14.    8.  ], Action: 0, Reward: -0.0, Next state: [60.   40.07 15.    8.  ]
State: [60.   40.07 15.    8.  ], Action: 0, Reward: -0.0, Next state: [60.   38.97 16.    8.  ]
